Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,brasilia,aguas_claras,2020-07-02,68.39344607123785,0.7500000016174722,-9.999999962162534,2.999999992688004,0.11748782893576727,0.01000213751174509,0.2718156983601758,0.10000000033959941,0.10000000027894837,2.0463497873028e-09,4.835820481084409,1.758977206217797
South America,brasilia,brazlandia,2022-01-18,77.43487229859807,0.750000009762561,-9.999999771829804,2.999999955861202,0.10392237939646436,0.01024590107959729,0.3364029117830589,0.10000000203052584,0.10000000167021798,1.4262732476346885e-08,3.2039810206067125,1.343185218015447
South America,brasilia,ceilandia,2020-05-20,80.21027893934964,0.7500000028484062,-9.999999933113584,2.999999987131081,0.4990733963721056,0.010031210840509537,0.49876219604353994,0.10000000059994348,0.10000000049692384,5.670652672846583e-09,3.5212749195352364,0.21630501855037917
South America,brasilia,gama,2020-06-08,77.87178564994565,0.7500000148984334,-9.99999965154333,2.9999999326534317,0.16640754912654993,0.010016583700940645,0.4770305606941346,0.1000000031232132,0.10000000309802422,2.6139322372387838e-08,2.541076739549033,0.8150590566411189
South America,brasilia,guara,2020-07-09,68.86392145034303,0.7500000011668003,-9.999999972732986,2.9999999947344693,0.08292677232858854,0.010014463081199906,0.29034595692046333,0.10000000024470905,0.10000000020088026,2.036519652479149e-09,2.512536312045366,0.6149205147669825
South America,brasilia,itapoa,2020-10-17,78.04947701151315,0.7500000015323748,-9.99999996417995,2.999999993071425,0.11179408019543356,0.010039433097250042,0.43193782090544197,0.10000000031878571,0.10000000026221968,2.1830394935897988e-09,3.090343300684867,1.3126845862071135
South America,brasilia,jardim_botanico,2022-01-28,70.23289491996805,0.7500000083011943,-9.999999805956476,2.999999962467068,0.11159782621318289,0.010188095089902052,0.1996648776125213,0.10000000172677266,0.1000000014203701,1.2416261698240275e-08,3.1923187672035844,1.2566486816748168
South America,brasilia,lago_norte,2022-01-25,82.29156614705249,0.7500000015464203,-9.99999996388442,2.99999999300659,0.1285677330329883,0.010002520770183106,0.3693127422049199,0.10000000031791531,0.10000000026197856,2.876701546485065e-09,2.796213714488624,0.9068053662941213
South America,brasilia,lago_sul,2022-01-05,84.3996110115623,0.7500000066532333,-9.999999844659282,2.999999969902553,0.10227285293688489,0.010039710594450689,0.25098420760830237,0.10000000135906698,0.10000000112106736,1.2291374576954054e-08,3.0228609965691984,0.8663933080681708
South America,brasilia,paranoa,2020-06-01,78.12373385586481,0.7500000005223861,-9.999999996945299,2.999999991903325,0.050008795981941696,0.010006083200807637,2.6923573442015718e-05,0.10000000032315724,0.10000000030635267,3.3497425614074452e-09,3.601714539755164,0.10020646332534708
South America,brasilia,planaltina,2020-08-10,71.75269632550321,0.7500000025893634,-9.999999939176604,2.9999999884093485,0.4989785143485408,0.010027950850492448,0.00046392383976849463,0.10000000054335241,0.10000000045008561,3.1508162075640246e-09,3.436416602515781,1.6201698359873073
South America,brasilia,plano_piloto,2020-06-01,67.7255145363058,0.7500000033733808,-9.999999980693923,2.9999999923058356,0.499996442051177,0.010023955419481728,0.4999982351173647,0.10000000040107278,0.10000000002400031,5.5994475106904936e-09,3.211207887852174,1.1260315225251885
South America,brasilia,recanto_das_emas,2020-06-15,88.6096578281342,0.7500000008234284,-9.999999980741997,2.999999996277376,0.14191525057843932,0.010009217650757154,0.30421848477715546,0.10000000017237355,0.10000000014165306,1.4606300725415048e-09,2.6353796578999686,0.6180533745047032
South America,brasilia,riacho_fundo_ii,2020-06-10,84.31376814997037,0.7500000057105589,-9.999999866595596,2.99999997417662,0.10875937084586064,0.010132245074686613,0.06755154844701786,0.1000000011782284,0.10000000097040268,1.0812365978034398e-08,3.187403090676145,0.7251685032530133
South America,brasilia,samambaia,2020-05-29,77.32954027526729,0.7500000015015271,-9.999999967437414,2.9999999938336868,0.4995096402357456,0.010009371918148434,0.0007658619537294179,0.1000000003115718,0.10000000025791574,1.3771499034462217e-09,2.677811638240905,1.940559357427463
South America,brasilia,santa_maria,2022-01-17,86.43773506036074,0.7500000014419508,-9.999999966275968,2.9999999934811052,0.09060892871563926,0.010022666811247858,0.19568269536300403,0.10000000030184188,0.1000000002480449,2.5354365986104034e-09,2.5564929605204436,0.6433922759189322
South America,brasilia,sao_sebastiao,2020-06-10,93.35049617019145,0.750000000996971,-9.999999986643541,2.9999999981074477,0.4995956379633746,0.01000892386994191,7.699193038217727e-06,0.10000000012708689,0.10000000014244059,1.056713258730444e-09,3.3115849779244795,0.6625991830447748
South America,brasilia,sistema_penitenciario,2020-05-10,85.07756124831683,1.004775960382645,-0.00022865109278406945,2.000140836855175,0.1984102396814585,0.05001000127947783,0.20004920335172396,2.999828094380751,3.002696101981011,0.10139244778398132,2.998333480746388,0.999559400023094
South America,brasilia,sobradinho,2020-06-12,72.05251678449437,0.7500000033995544,-9.999999920517759,2.999999984629978,0.14069702629944164,0.01000503932263392,0.43418277935717475,0.10000000070878029,0.10000000058282334,6.755993194740682e-09,3.551739681416467,0.9994090622213437
South America,brasilia,sudoeste_octogonal,2022-01-05,89.97699922687526,0.7500000011591968,-9.999999972912692,2.999999994758329,0.10350876957547425,0.010024653790901044,0.4725765860865466,0.10000000023996265,0.10000000019753633,2.1347846938887832e-09,2.9774177359291802,0.9119190642673507
