Continent,Country,Province,Data Start Date,MAPE,Infection Rate,Median Day of Action,Rate of Action,Rate of Death,Mortality Rate,Rate of Mortality Rate Decay,Internal Parameter 1,Internal Parameter 2,Jump Magnitude,Jump Time,Jump Decay
South America,brasilia,aguas_claras,2020-07-02,,0.75,-10.0,3.0,0.10419765503259432,0.01,0.18294516627874458,0.1,0.1,0.0,3.0011447472660744,1.0150680196731372
South America,brasilia,brazlandia,2022-01-18,,0.75,-10.0,3.0,0.5,0.01,0.2005066773663627,0.1,0.1,0.0,3.0011116445265165,1.014982360247044
South America,brasilia,ceilandia,2020-05-20,,0.75,-10.0,3.0,0.13972392323335886,0.01,0.23486487001335798,0.1,0.1,0.0,3.0011113539396113,1.0149495802401602
South America,brasilia,gama,2020-06-08,,0.75,-10.0,3.0,0.14078697457654454,0.01,0.19613377145973857,0.1,0.1,0.0,3.0011152824880725,1.0149382457219778
South America,brasilia,guara,2020-07-09,,0.75,-10.0,3.0,0.10348007362734712,0.01,0.20260974256485859,0.1,0.1,0.0,3.001113374867158,1.0149914234702961
South America,brasilia,itapoa,2020-10-17,6988.9782131496695,0.75,-10.0,3.0,0.11364898872764881,0.01,0.20508752856022844,0.1,0.1,0.0,3.001162081117239,1.0031218987656956
South America,brasilia,jardim_botanico,2022-01-28,,0.75,-10.0,3.0,0.10852641240897642,0.01,0.20066726383619127,0.1,0.1,0.0,3.001158542388346,1.0005861176995636
South America,brasilia,lago_norte,2022-01-25,,0.75,-10.0,3.0,0.2444215890305953,0.01,0.19049028278741534,0.1,0.1,0.0,3.001092218820428,1.0148243067816312
South America,brasilia,lago_sul,2022-01-05,,0.75,-10.0,3.0,0.10705991141262766,0.01,0.21992011065925596,0.1,0.1,0.0,3.001262212500138,1.0018830105900371
South America,brasilia,paranoa,2020-06-01,,0.75,-10.0,3.0,0.05,0.01,0.19439360338772613,0.1,0.1,0.0,3.001106184540615,1.0149187805396225
South America,brasilia,planaltina,2020-08-10,,0.75,-10.0,3.0,0.13960522506343165,0.01,0.3078606787006182,0.1,0.1,0.0,3.001126882848669,1.0067946886501509
South America,brasilia,plano_piloto,2020-06-01,,0.75,-10.0,3.0,0.05,0.01,0.1961942571008375,0.1,0.1,0.0,3.001108796619871,1.0149305628590957
South America,brasilia,recanto_das_emas,2020-06-15,,0.75,-10.0,3.0,0.13925877552375165,0.01,0.20075179102872753,0.1,0.1,0.0,3.0011154563613927,1.014967895671657
South America,brasilia,riacho_fundo_ii,2020-06-10,,0.75,-10.0,3.0,0.10313200094397407,0.01,0.21459968874561566,0.1,0.1,0.0,3.001198440331419,1.0027481768039208
South America,brasilia,samambaia,2020-05-29,,0.75,-10.0,3.0,0.5,0.01,0.24651404079276432,0.1,0.1,0.0,3.001109851404085,1.01494408713681
South America,brasilia,santa_maria,2022-01-17,,0.75,-10.0,3.0,0.13144415592208208,0.01,0.23618501765409894,0.1,0.1,0.0,3.001109839934434,1.0149430303910496
South America,brasilia,sao_sebastiao,2020-06-10,,0.75,-10.0,3.0,0.5,0.01,0.5,0.1,0.1,0.0,3.0011346466061264,1.0080116167837017
South America,brasilia,sistema_penitenciario,2020-05-10,,1.0001051107210428,0.008715575033357997,1.99991540970462,0.20000918359321007,0.049999278505763356,0.1999999971246716,2.9995711176640305,3.0129727414575584,0.10262878273836451,3.002195682032296,1.0002646954005143
South America,brasilia,sobradinho,2020-06-12,,0.75,-10.0,3.0,0.5,0.01,0.2799476524091061,0.1,0.1,0.0,3.001130242649331,1.0120512359377298
South America,brasilia,sudoeste_octogonal,2022-01-05,,0.75,-10.0,3.0,0.10439542058204415,0.01,0.20082549089194945,0.1,0.1,0.0,3.001123472129058,1.0149751239742921
South America,brasilia,taguatinga,2020-06-01,,0.75,-10.0,3.0,0.05,0.01,0.19474201583868783,0.1,0.1,0.0,3.001110839353767,1.0149267826939818
South America,brasilia,vicente_pires,2022-01-19,,0.75,-10.0,3.0,0.16568485765343138,0.01,0.2165675184675557,0.1,0.1,0.0,3.0011497783980703,1.00027428435837
